,obj,seed
0,8698.528151826715,513
1,8710.980854769568,648
2,8738.338509996513,763
3,8497.522210447725,658
4,8834.370803586817,556
5,8767.581803353278,537
6,8465.7444165059,709
7,8535.3458934103,252
8,8689.419778664787,283
9,8713.833425563587,308
10,8732.663227373514,547
11,8540.651135170758,891
12,8806.06236562919,594
13,8662.917236481017,182
14,8583.355630978338,559
15,8593.278098416571,70
16,8809.71967887918,961
17,8701.24527335901,57
18,8636.33258909924,939
19,8698.036051360854,971
20,8880.594493461833,378
21,8616.487594973769,449
22,8655.411652485018,161
23,8575.763674324195,13
24,8654.785037490941,595
25,8789.70475025984,485
26,8646.726157742254,720
27,8531.180035071742,906
28,8484.043686261919,829
29,8613.817108842424,461
30,8686.921061854366,488
31,8535.516524418535,498
32,8615.597176290263,523
33,8538.858064544303,723
34,8424.895784751909,668
35,8673.385820604572,631
36,8769.91554564529,880
37,8613.138529162905,117
38,8742.64965193263,950
39,8617.980153741733,307
40,8773.659906691393,752
41,8751.833566228699,694
42,8676.057729462442,916
43,8525.531238312991,766
44,8395.07980190922,292
45,8769.91554564529,880
46,8503.217106143524,348
47,8664.248428962424,601
48,8712.572359174064,522
49,8811.65530873666,716
50,8590.17673849277,746
51,8852.156083940767,913
52,8655.413109485828,171
53,8665.182771928212,314
54,8377.68912658569,127
55,8462.585070065568,235
56,8700.934652658703,29
57,8697.159267924542,759
58,8759.791914251915,649
59,8655.411652485018,161
60,8711.125930379563,85
61,8955.588178339363,613
62,8533.52482325165,622
63,8799.853514064078,399
64,8368.89285953355,897
65,8933.97393473463,661
66,8568.144484018434,769
67,8863.63697289213,265
68,8587.27825435373,528
69,8602.119010184946,697
70,8573.450957242236,52
71,8742.64965193263,950
72,8899.086212966764,406
73,8616.593672813517,921
74,8709.553726024591,896
75,8486.036920985229,80
76,8676.808488129425,540
77,8742.613012107657,213
78,8691.554739312502,698
79,8626.064014580526,25
80,8466.01877245135,865
81,8640.982270207363,926
82,8812.93920597597,177
83,8399.170165126558,976
84,8648.744404883922,299
85,8607.65644296496,184
86,8700.934652658703,29
87,8625.052746457095,443
88,8382.69540350762,570
89,8799.874120870281,724
90,8760.13479209687,336
91,8438.645860888322,693
92,8752.04920177033,927
93,8603.842680356382,639
94,8773.560758002039,858
95,8537.58060524662,437
96,8899.086212966764,406
97,8737.412635227647,83
98,8687.968973658488,651
99,8759.791914251915,649
100,8676.230107444615,130
101,8880.594493461833,378
102,8781.257646441856,838
103,8530.218032947334,434
104,8472.37593998597,205
105,8532.07008739404,745
106,8798.023315410135,876
107,8658.021190575868,78
108,8683.088095339008,304
109,8672.83172756157,992
110,8399.797818013178,479
111,8736.39722070967,260
112,8676.088288304974,768
113,8656.818363893171,170
114,8635.351746541168,14
115,8686.016577900387,193
116,8707.620194825064,734
117,8675.188766895604,341
118,8634.16673228851,415
119,8638.423538052397,444
120,8738.145435225499,538
121,8329.616488272648,43
122,8395.07980190922,292
123,8834.370803586817,556
124,8768.333874605594,104
125,8907.328846885348,670
126,8792.180229570542,129
127,8745.210493715804,228
128,8751.833566228699,694
129,8849.394828827337,905
130,8365.938210501987,477
131,8509.15661161379,908
132,8832.657283044544,197
133,8727.304936111237,634
134,8574.433896855582,59
135,8655.591723204572,993
136,8748.987664213111,571
137,8607.620457259598,881
138,8412.650850630795,463
139,8803.106784359677,731
140,8439.02965141381,126
141,8812.93920597597,177
142,8786.65687431418,77
143,8621.042989784068,3
144,8572.635366548591,893
145,8368.89285953355,897
146,8575.763674324195,13
147,8573.892272379373,175
148,8671.725238389676,673
149,8509.183618289942,137
150,8780.797299618469,790
151,8609.091461970675,760
152,8356.94935016112,123
153,8547.400108447482,818
154,8665.182771928212,314
155,8472.029540812946,280
156,8849.394828827337,905
157,8838.504373006384,903
158,8737.761400183135,456
159,8660.435655554002,618
160,8673.385820604572,631
161,8648.223264604476,643
162,8641.923426233408,255
163,8605.143479583305,433
164,8748.652108833177,71
165,8607.929682525497,929
166,8797.960269214745,800
167,8789.490415312099,918
168,8532.641914562493,636
169,8695.529365325641,492
170,8759.791914251915,649
171,8762.894922144817,452
172,8790.996156519765,780
173,8614.128320498265,550
174,8632.589185703886,253
175,8869.632163978265,466
176,8899.086212966764,406
177,8687.968973658488,651
178,8736.39722070967,260
179,8742.613012107657,213
180,8633.61488847079,526
181,8548.872501761482,165
182,8640.982270207363,926
183,8589.52865261449,551
184,8666.49874866542,946
185,8532.641914562493,636
186,8772.73345691149,33
187,8793.790783082462,925
188,8771.210205479358,189
189,8745.210493715804,228
190,8455.47045940169,713
191,8676.088288304974,768
192,8738.145435225499,538
193,8311.689685420863,17
194,8839.064795646478,199
195,8660.435655554002,618
196,8548.872501761482,165
197,8683.767593265318,935
198,8625.704473787739,662
199,8553.866338694643,855
