,obj,seed
0,8240.812629029335,737
1,8454.066785242681,495
2,8241.237027186513,261
3,8412.408906910785,549
4,8241.666844409996,63
5,8567.046059649569,887
6,8423.155196789678,174
7,8499.307917795215,938
8,8367.404956411483,813
9,8486.230610147928,408
10,8393.398599056309,384
11,8250.756972014446,36
12,8305.708741620736,369
13,8241.16479545635,912
14,8426.773597580508,203
15,8441.12153529875,657
16,8545.586349078421,268
17,8378.567037863273,311
18,8548.493435638138,201
19,8302.716170181624,173
20,8352.502166991606,50
21,8366.334733337513,47
22,8483.051843315752,285
23,8317.045754214021,993
24,8391.533994230778,501
25,8386.419160997331,177
26,8421.182222076272,54
27,8468.862941010408,503
28,8456.69541746858,251
29,8429.458409577599,621
30,8395.26625659351,372
31,8351.045613896838,500
32,8389.237569509249,322
33,8379.042892849404,731
34,8728.998587551127,654
35,8390.990455585257,73
36,8507.18756114232,696
37,8565.549170657072,8
38,8617.50959714889,855
39,8313.177473209334,59
40,8367.274434739333,936
41,8659.4376808187,738
42,8240.812629029335,737
43,8409.933843670136,152
44,8516.80402178382,942
45,8366.338389250835,159
46,8523.633670580224,292
47,8528.4122854853,17
48,8399.498161551372,977
49,8343.935528224696,881
50,8234.062299476027,602
51,8689.50697456198,74
52,8481.46210824614,982
53,8416.978502385155,506
54,8505.070351756462,23
55,8421.182222076272,54
56,8509.127665214746,252
57,8252.283747189882,868
58,8520.45556873325,248
59,8593.963277509294,697
60,8366.071491814168,490
61,8660.195565693186,215
62,8259.470039253842,19
63,8367.482543437216,83
64,8354.701244755863,730
65,8241.169540417102,260
66,8549.913615033398,964
67,8371.545361232418,275
68,8367.885448744324,86
69,8371.405794598462,18
70,8266.449038920853,803
71,8616.386976555888,962
72,8481.138256773,618
73,8595.163504853937,329
74,8397.815859100576,76
75,8563.140156632038,270
76,8241.581295125148,627
77,8637.343983284176,613
78,8717.456371814322,847
79,8234.76126043199,400
80,8328.217052087763,344
81,8404.063021870254,830
82,8516.802118734637,536
83,8729.585720969882,286
84,8430.630888236234,325
85,8366.647817929726,7
86,8427.972302457156,343
87,8495.460613784826,844
88,8469.159638099434,690
89,8429.464074131436,129
90,8732.16063746375,860
91,8397.094401867646,211
92,8544.338648774292,438
93,8482.031996605485,780
94,8288.881534803924,247
95,8444.183618482712,368
96,8417.667483124562,90
97,8660.13302855135,822
98,8376.04221226546,615
99,8302.716170181624,173
100,8476.458190291823,381
101,8250.201704232546,12
102,8234.062299476027,602
103,8485.853719634499,874
104,8522.815977665177,421
105,8678.030840236315,703
106,8544.338648774292,438
107,8421.181420618423,122
108,8650.430890583222,430
109,8435.63996518634,303
110,8508.515348524543,497
111,8523.851513097823,969
112,8350.836504122459,110
113,8380.563594706795,655
114,8242.305582904448,839
115,8259.470039253842,19
116,8242.618081255963,857
117,8450.703776763447,963
118,8572.898720441139,149
119,8462.021881025046,634
120,8471.221319403141,736
121,8462.65054033151,214
122,8650.288057020905,233
123,8366.334485772733,529
124,8598.01248563874,347
125,8458.621358563636,446
126,8539.830360400967,700
127,8399.83869327916,116
128,8343.933213466345,851
129,8412.523908303076,302
130,8551.702397142531,15
131,8381.370938179252,699
132,8395.320606671794,900
133,8391.157693161647,610
134,8376.871696322085,106
135,8494.378383883619,5
136,8542.460906296707,319
137,8485.853719634499,874
138,8642.907621395756,130
139,8497.44408780143,263
140,8527.47379716575,601
141,8562.403186996618,978
142,8429.465917944714,970
143,8242.465231881686,419
144,8474.146202666005,313
145,8431.508326995954,154
146,8650.288057020905,233
147,8453.010667004097,352
148,8475.01726969229,220
149,8326.191139431685,527
150,8492.998047122288,437
151,8593.963277509294,697
152,8516.80126410765,82
153,8493.885191434001,222
154,8453.921773178166,317
155,8730.802781063216,767
156,8364.144230287142,161
157,8420.339332676813,849
158,8241.173432458372,67
159,8256.69691137176,622
160,8475.01726969229,220
161,8519.708821198235,138
162,8470.382337336176,349
163,8473.953699126716,589
164,8429.458409577599,621
165,8305.708741620736,369
166,8554.595644943405,339
167,8241.163913362174,362
168,8472.848743695336,258
169,8399.852764314157,14
170,8494.112760895014,397
171,8424.684870932975,383
172,8366.334419300765,573
173,8494.664312094657,797
174,8429.465321900827,348
175,8469.159005640267,158
176,8241.164005856237,97
177,8391.790345038513,245
178,8380.826960816932,115
179,8537.553116570427,84
180,8399.838809372333,176
181,8366.334347002568,464
182,8437.47692763817,402
183,8453.013533998042,564
184,8513.468846779457,968
185,8376.868121695705,791
186,8516.803438896573,902
187,8242.788069356662,221
188,8376.873848328301,882
189,8284.653857230263,820
190,8547.822888087354,507
191,8366.647817929726,7
192,8376.869326849708,663
193,8343.933745598613,579
194,8385.011519662836,316
195,8411.46133454714,461
196,8422.242447915987,280
197,8501.101512102703,946
198,8366.33477108209,828
199,8644.72545028973,403
