min,max,a,b,c,e,f
36,114,0.00690,6.73,94.705,100,0.084
36,114,0.00690,6.73,94.705,100,0.084
60,120,0.02028,7.07,309.540,100,0.084
80,190,0.00942,8.18,369.030,150,0.063
47,97,0.01140,5.35,148.890,120,0.077
68,140,0.01142,8.05,222.330,100,0.084
110,300,0.00357,8.03,287.710,200,0.042
135,300,0.00492,6.99,391.980,200,0.042
135,300,0.00573,6.60,455.760,200,0.042
130,300,0.00605,12.9,722.820,200,0.042
94,375,0.00515,12.9,635.200,200,0.042
94,375,0.00569,12.8,654.690,200,0.042
125,500,0.00421,12.5,913.400,300,0.035
125,500,0.00752,8.84,1760.400,300,0.035
125,500,0.00752,8.84,1760.400,300,0.035
125,500,0.00752,8.84,1760.400,300,0.035
220,500,0.00313,7.97,647.850,300,0.035
220,500,0.00313,7.95,649.690,300,0.035
242,550,0.00313,7.97,647.830,300,0.035
242,550,0.00313,7.97,647.810,300,0.035
254,550,0.00298,6.63,785.960,300,0.035
254,550,0.00298,6.63,785.960,300,0.035
254,550,0.00284,6.66,794.530,300,0.035
254,550,0.00284,6.66,794.530,300,0.035
254,550,0.00277,7.10,801.320,300,0.035
254,550,0.00277,7.10,801.320,300,0.035
10,150,0.52124,3.33,1055.100,120,0.077
10,150,0.52124,3.33,1055.100,120,0.077
10,150,0.52124,3.33,1055.100,120,0.077
47,97,0.01140,5.35,148.890,120,0.077
60,190,0.00160,6.43,222.920,150,0.063
60,190,0.00160,6.43,222.920,150,0.063
90,200,0.00010,8.95,107.870,200,0.042
90,200,0.00010,8.62,116.580,200,0.042
90,200,0.00010,8.62,116.580,200,0.042
25,110,0.01610,5.88,307.450,80,0.098
25,110,0.01610,5.88,307.450,80,0.098
25,110,0.01610,5.88,307.450,80,0.098
242,550,0.00313,7.97,647.830,300,0.035
